player_id,player_name,round,predicted_points,actual_points
430,Haaland,2,11.056,2
5,Gabriel,2,8.265,6
119,Mbeumo,2,7.239,2
82,Semenyo,2,6.319,6
260,Guéhi,2,6.029999999999999,2
1,Raya,2,5.788,6
258,Mitchell,2,5.681,1
7,Calafiori,2,5.329000000000001,13
136,Thiago,2,5.323,2
226,Chalobah,2,5.314,8
37,Digne,2,5.268,2
249,João Pedro,2,4.855,15
236,Neto,2,4.775,7
120,Schade,2,4.715,3
714,Woltemade,2,4.685,0
694,Mukiele,2,4.674,0
683,Alderete,2,4.656000000000001,1
477,Livramento,2,4.644,4
411,O’Reilly,2,4.627,0
256,Muñoz,2,4.388,5
317,Andersen,2,4.357,4
408,Rúben,2,4.308000000000001,1
283,Mateta,2,4.303,2
350,Aaronson,2,4.298,1
21,Rice,2,4.226999999999999,6
299,Ndiaye,2,4.226999999999999,8
241,Caicedo,2,4.217999999999999,8
597,Richarlison,2,4.201,4
568,Pedro Porro,2,4.199,5
266,Eze,2,4.171,0
381,M.Salah,2,4.169,5
72,Senesi,2,4.1240000000000006,9
668,Xhaka,2,4.109,4
26,Zubimendi,2,4.064,3
531,Ballard,2,4.048,1
36,Cash,2,3.976,2
648,Munetsi,2,3.964,2
449,B.Fernandes,2,3.9099999999999993,2
328,Sessegnon,2,3.897,2
532,Hume,2,3.851,1
8,J.Timber,2,3.727,24
160,Minteh,2,3.716,2
261,Richards,2,3.706,2
673,J.Palhinha,2,3.678,11
517,Anderson,2,3.638,2
59,Onana,2,3.61,1
205,Cullen,2,3.579,14
670,Roefs,2,3.524,1
16,Saka,2,3.4940000000000007,6
722,Florentino,2,3.4799999999999995,0
407,Matheus N.,2,3.394,0
74,Truffert,2,3.367,6
457,Casemiro,2,3.283,0
178,Welbeck,2,3.282,0
469,Pope,2,3.28,4
47,Rogers,2,3.252,2
257,Lacroix,2,3.245,3
228,Gusto,2,3.2300000000000004,2
224,Cucurella,2,3.213,5
173,Wieffer,2,3.1990000000000003,3
390,Gravenberch,2,3.183,7
233,Acheampong,2,3.172,0
624,Bowen,2,3.143,2
20,Trossard,2,3.139,1
593,P.M.Sarr,2,3.1370000000000005,3
354,Ampadu,2,3.12,0
387,Szoboszlai,2,3.108,2
582,Kudus,2,3.097,3
295,Keane,2,3.064,8
108,Ajer,2,3.0409999999999995,1
491,Tonali,2,3.023,2
38,Konsa,2,3.015,0
225,James,2,3.0040000000000004,1
84,Tavernier,2,2.974,11
85,Adams,2,2.9560000000000004,2
67,Petrović,2,2.9550000000000005,6
565,Vicario,2,2.9530000000000003,9
291,Tarkowski,2,2.93,8
324,Iwobi,2,2.926,7
90,Scott,2,2.9159999999999995,2
329,Wilson,2,2.911,1
560,Isidor,2,2.911,1
267,Sarr,2,2.889,8
50,Buendía,2,2.865,1
698,Okafor,2,2.854,1
373,Virgil,2,2.839,3
100,Kroupi.Jr,2,2.8340000000000005,1
151,Van Hecke,2,2.833,1
488,Bruno G.,2,2.81,6
40,Mings,2,2.791,2
490,Joelinton,2,2.789,2
403,Gvardiol,2,2.77,0
273,Wharton,2,2.764,2
238,Estêvão,2,2.749,5
474,Schär,2,2.748,1
271,Kamada,2,2.714,0
515,Gibbs-White,2,2.705,2
237,Enzo,2,2.6979999999999995,10
660,Stach,2,2.696,2
374,Konaté,2,2.666,0
553,Talbi,2,2.662,2
436,De Ligt,2,2.653,7
485,Gordon,2,2.652,-2
552,Sadiki,2,2.6340000000000003,2
314,Leno,2,2.622,3
736,Donnarumma,2,2.599,0
192,Hartman,2,2.591,6
575,Van de Ven,2,2.588,6
470,Dúbravka,2,2.5820000000000003,6
253,Henderson,2,2.582,2
453,Garnacho,2,2.563,0
452,Amad,2,2.5409999999999995,1
721,Milosavljević,2,2.534,0
303,Garner,2,2.514,10
423,N.Gonzalez,2,2.5130000000000003,1
121,Damsgaard,2,2.503,5
32,Martinez,2,2.4880000000000004,2
547,E.Le Fée,2,2.482,1
106,Collins,2,2.478,9
129,Yarmoliuk,2,2.459,5
476,Burn,2,2.458,2
681,Šeško,2,2.4490000000000003,1
585,Bentancur,2,2.4360000000000004,3
342,Bogle,2,2.43,-1
200,Anthony,2,2.39,13
384,Gakpo,2,2.365,10
83,O.Dango,2,2.365,13
489,J.Murphy,2,2.3630000000000004,0
332,Lukić,2,2.362,3
220,Sánchez,2,2.346,3
695,Tchatchoua,2,2.333,1
322,Tete,2,2.3269999999999995,2
337,Raúl,2,2.325,1
418,Doku,2,2.324,1
54,McGinn,2,2.31,2
97,Evanilson,2,2.2960000000000003,2
191,Estève,2,2.295,6
86,Brooks,2,2.287,3
113,Van den Berg,2,2.262,8
646,Gomes,2,2.259,1
586,Bergvall,2,2.258,1
64,Watkins,2,2.251,2
427,Reijnders,2,2.228,2
302,Gana,2,2.2220000000000004,3
708,M.Fernandes,2,2.195,0
48,Tielemans,2,2.143,2
450,Cunha,2,2.13,2
493,Longstaff,2,2.123,1
287,Pickford,2,2.1049999999999995,15
684,Thiaw,2,2.103,1
627,Johnstone,2,2.0840000000000005,0
717,Xavi,2,2.082,0
502,Sels,2,2.056,2
166,Ayari,2,2.049,2
348,Rodon,2,2.047,2
330,Berge,2,2.042,2
210,Tchaouna,2,2.039,1
603,Diouf,2,2.036,3
669,Ndoye,2,2.0290000000000004,7
101,Kelleher,2,2.0,5
416,Bernardo,2,1.992,1
569,Romero,2,1.97,7
215,Flemming,2,1.959,1
666,Gyökeres,2,1.954,12
124,Henderson,2,1.939,3
600,Areola,2,1.936,0
475,Botman,2,1.934,0
691,Calvert-Lewin,2,1.93,0
58,Kamara,2,1.93,1
643,André,2,1.916,1
654,Strand Larsen,2,1.9130000000000005,2
382,Wirtz,2,1.903,2
615,Summerville,2,1.901,0
584,Tel,2,1.9,0
87,Christie,2,1.894,1
402,Aït-Nouri,2,1.89,1
209,Laurent,2,1.876,1
612,L.Paquetá,2,1.872,9
343,Struijk,2,1.86,0
242,Dewsbury-Hall,2,1.8560000000000003,2
386,Mac Allister,2,1.855,0
157,Mitoma,2,1.855,2
158,Georginio,2,1.848,0
311,Beto,2,1.847,0
293,O'Brien,2,1.833,6
414,Foden,2,1.822,1
443,Shaw,2,1.815,2
663,J.Arias,2,1.796,1
633,H.Bueno,2,1.791,0
217,Foster,2,1.7580000000000002,2
588,Odobert,2,1.754,1
148,F.Kadıoğlu,2,1.733,0
365,Nmecha,2,1.7100000000000002,1
162,Gruda,2,1.6949999999999998,1
605,Kilman,2,1.685,0
444,Yoro,2,1.6829999999999998,6
424,Bobb,2,1.6800000000000002,2
478,Trippier,2,1.675,1
573,Spence,2,1.675,6
421,Rodrigo,2,1.6670000000000005,1
636,S.Bueno,2,1.666,1
497,L.Miley,2,1.6650000000000005,1
53,Malen,2,1.652,1
